ind,rating,timestamp
148,4.0,1996-03-27 14:11:20
456,8.0,1996-04-04 02:12:13
589,12.0,1996-04-05 15:46:57
737,17.0,1996-04-10 10:50:37
877,21.0,1996-04-13 12:58:32
949,25.0,1996-04-13 16:57:32
1006,30.0,1996-04-15 07:34:18
1453,33.0,1996-04-23 14:19:21
4003,36.0,1996-05-13 14:39:46
4338,40.0,1996-05-15 02:22:43
4872,44.0,1996-05-16 11:04:14
7591,47.0,1996-05-24 17:45:52
8091,50.0,1996-05-26 05:35:42
8360,55.0,1996-05-26 23:25:23
8645,59.0,1996-05-27 20:20:25
9128,63.0,1996-05-29 21:40:21
10248,67.0,1996-06-01 17:47:49
10737,70.0,1996-06-03 14:57:37
12843,74.0,1996-06-10 19:24:03
14517,78.0,1996-06-16 21:38:34
17854,82.0,1996-06-25 22:59:26
20157,85.0,1996-07-03 14:24:55
20437,89.0,1996-07-04 10:21:56
20754,92.0,1996-07-05 12:06:27
21585,95.0,1996-07-07 16:01:46
23077,98.0,1996-07-12 11:53:33
23623,101.0,1996-07-14 17:09:03
24839,104.0,1996-07-18 16:49:11
26025,108.0,1996-07-24 06:17:45
28183,113.0,1996-08-05 10:48:08
30412,117.0,1996-08-15 06:09:17
30584,121.0,1996-08-15 12:15:02
32070,125.0,1996-08-20 10:26:58
32124,128.0,1996-08-20 10:41:33
33896,131.0,1996-08-25 20:20:16
35482,134.0,1996-08-31 08:33:40
35915,137.0,1996-09-02 19:43:04
36184,140.0,1996-09-03 07:46:18
37401,145.0,1996-09-08 02:51:45
37891,149.0,1996-09-10 16:08:03
38634,153.0,1996-09-14 21:05:40
41151,156.0,1996-09-29 11:42:23
41619,161.0,1996-10-02 14:17:32
41770,165.0,1996-10-03 07:51:46
42217,169.0,1996-10-05 13:52:45
44218,172.0,1996-10-15 09:37:42
44968,177.0,1996-10-18 02:40:18
45208,181.0,1996-10-19 13:59:56
45367,184.0,1996-10-19 17:17:37
46626,188.0,1996-10-26 18:45:48
46954,191.0,1996-10-27 23:06:39
47745,194.0,1996-10-30 12:23:08
48292,199.0,1996-11-01 22:35:04
50594,202.0,1996-11-14 08:52:00
51118,206.0,1996-11-17 09:43:53
51593,210.0,1996-11-20 17:06:12
51942,214.0,1996-11-22 16:49:35
52165,218.0,1996-11-23 18:13:47
52581,222.0,1996-11-25 05:31:24
53713,225.0,1996-11-26 11:38:43
55459,229.0,1996-12-08 14:03:08
56730,233.0,1996-12-16 04:37:45
56835,236.0,1996-12-16 10:46:41
57253,239.0,1996-12-18 12:03:40
59566,242.0,1997-01-01 15:50:29
60879,246.0,1997-01-18 21:21:33
61193,250.0,1997-01-21 07:32:13
63103,252.0,1997-02-11 13:52:48
63770,256.0,1997-02-20 12:44:55
63993,259.0,1997-02-22 18:31:07
64699,262.0,1997-03-04 15:22:33
64792,265.0,1997-03-04 16:20:23
64999,268.0,1997-03-05 11:25:07
65372,273.0,1997-03-08 16:11:44
66404,276.0,1997-03-17 23:32:16
66868,278.0,1997-03-23 08:33:53
67890,282.0,1997-03-28 10:59:11
69014,287.0,1997-04-08 11:31:27
69842,291.0,1997-04-22 18:20:47
69953,292.0,1997-04-24 06:42:33
70263,295.0,1997-05-01 18:41:22
70599,298.0,1997-05-02 20:09:38
71169,301.0,1997-05-05 02:36:50
72262,304.0,1997-05-17 10:56:24
75416,309.0,1997-06-28 10:21:17
75601,313.0,1997-07-02 19:19:37
75712,317.0,1997-07-05 18:28:17
77531,321.0,1997-10-19 01:17:08
78191,324.0,1997-11-14 15:16:06
78572,328.0,1997-12-26 10:05:27
79381,332.0,1998-02-19 16:32:35
80795,337.0,1998-07-18 07:39:41
81895,341.0,1998-07-23 17:38:16
81987,346.0,1998-07-24 13:09:04
82020,349.0,1998-07-26 20:41:05
82896,352.0,1998-08-03 01:33:04
83387,355.0,1998-08-17 23:15:00
83783,359.0,1998-09-04 20:48:28
84849,363.0,1998-12-17 18:48:08
86627,366.0,1999-10-01 06:31:23
86628,369.0,1999-10-01 06:33:09
87043,370.0,1999-10-02 00:42:45
87947,373.0,1999-10-04 23:45:27
89172,376.0,1999-10-14 06:49:56
89226,380.0,1999-10-14 08:17:22
89563,384.0,1999-10-15 10:34:36
90160,388.0,1999-10-20 12:18:05
90550,391.0,1999-10-21 10:36:27
90651,395.0,1999-10-22 05:09:10
91405,399.0,1999-10-30 11:34:54
91873,402.0,1999-11-02 09:50:56
91913,406.0,1999-11-02 13:54:45
91934,410.0,1999-11-02 16:33:28
93159,414.0,1999-11-13 12:26:01
93719,418.0,1999-11-18 13:52:51
94087,422.0,1999-11-21 11:12:38
94345,426.0,1999-11-24 05:03:37
94897,431.0,1999-12-01 16:17:41
94902,434.0,1999-12-01 21:47:43
95308,437.0,1999-12-11 11:46:58
96131,440.0,1999-12-12 02:13:58
97812,444.0,1999-12-16 05:58:35
98099,447.0,1999-12-17 21:38:42
99143,452.0,1999-12-27 16:46:34
99231,457.0,1999-12-27 20:35:47
100423,461.0,2000-01-16 06:01:30
100773,463.0,2000-01-20 04:01:32
102089,468.0,2000-02-22 17:21:11
102784,471.0,2000-03-12 22:53:15
103796,474.0,2000-03-27 21:09:25
104197,478.0,2000-04-07 16:04:50
104405,481.0,2000-04-11 16:48:13
104899,483.0,2000-04-19 18:26:52
105767,487.0,2000-05-02 18:22:42
106377,491.0,2000-05-17 02:16:21
106415,494.0,2000-05-19 14:34:03
106513,498.0,2000-05-21 00:11:28
108039,501.0,2000-07-06 04:10:14
110194,504.0,2000-08-10 02:44:37
111033,508.0,2000-08-27 22:54:38
112363,511.0,2000-10-05 19:37:45
112995,514.0,2000-11-02 21:28:06
113045,518.0,2000-11-03 07:19:26
113381,522.0,2000-11-13 04:43:09
113484,524.0,2000-11-17 23:31:59
113694,526.0,2000-11-19 18:17:24
113889,530.0,2000-11-19 23:27:54
114460,533.0,2000-11-20 09:40:02
114562,537.0,2000-11-20 13:30:31
114975,541.0,2000-11-21 04:01:31
115093,545.0,2000-11-21 05:15:04
115123,546.0,2000-11-21 06:05:18
115575,550.0,2000-11-22 03:38:38
115644,553.0,2000-11-22 06:15:15
116272,556.0,2000-11-25 17:53:07
116888,561.0,2000-12-06 02:01:08
117282,566.0,2000-12-08 01:39:09
117568,570.0,2000-12-08 17:30:34
117599,574.0,2000-12-08 23:33:46
117993,577.0,2000-12-14 16:47:34
118176,580.0,2000-12-24 23:04:19
118242,585.0,2001-01-02 01:39:03
119769,589.0,2001-02-27 20:03:11
120050,592.0,2001-03-08 14:25:22
120268,594.0,2001-03-22 00:49:12
120381,597.0,2001-03-30 23:43:58
123402,601.0,2001-06-29 11:18:26
123600,605.0,2001-07-03 16:18:59
124143,609.0,2001-07-12 15:34:43
125017,612.0,2001-08-09 18:40:45
126627,617.0,2001-09-30 03:09:44
128671,619.0,2001-12-28 16:55:40
129029,624.0,2002-01-16 08:21:02
129848,627.0,2002-03-01 21:34:25
130163,630.0,2002-03-12 18:37:14
130233,632.0,2002-03-13 08:11:21
130270,636.0,2002-03-15 00:09:15
131291,638.0,2002-05-31 14:59:26
131418,643.0,2002-06-06 22:44:34
132025,647.0,2002-07-08 19:41:17
